Facility/Project Name,CWNS Number,Present Residential Receiving Collection Population,Present Residential Upstream Collection Population,Present Residential Onsite Wastewater Treatment Systems Population,Present Residential Clustered Systems Population,Present Residential Total Receiving Treatment Population,Present Residential Downstream Collection Population,Present Residential Actual Receiving Population,Projected Residential Receiving Collection Population,Projected Residential Upstream Collection Population,Projected Residential Onsite Wastewater Treatment Systems Population,Projected Residential Clustered Systems Population,Projected Residential Total Receiving Treatment Population,Projected Residential Downstream Collection Population,Projected Residential Actual Receiving Population,Permit Number,Permit Type,Authority Name,County Name,Watershed Name,Watershed HUC,Congressional District,State,Region,Map
Goleta WWTF,06003021001,"40,500","33,000","1,999",,"73,500",0,73500,"43,500","35,000","1,999",,"78,500",0,78500,CA0048160,Individual Permit,GOLETA SANITARY DISTRICT,Santa Barbara,Santa Barbara Coastal,18060013,24th Congressional District,CA,9,MAP
GREENFIELD WWTF,06003022001,"16,510",,,,"16,510",0,16510,"18,524",,,,"18,524",0,18524,,,"Greenfield, City of",Monterey,Salinas,18060005,20th Congressional District,CA,9,MAP
PASO ROBLES WWTP,06003027001,"29,173","1,500",,,"30,673",0,30673,"35,000","1,846",,,"36,846",0,36846,CA0047953,Individual Permit,"Paso Robles, City of",San Luis Obispo,Salinas,18060005,24th Congressional District,CA,9,MAP
Pismo Beach WWTF,06003028001,"7,675",,,,"7,675",0,7675,"9,000",,25,,"9,000",0,9000,CA0048151,Individual Permit,"PISMO BEACH, CITY OF",San Luis Obispo,Central Coastal,18060006,24th Congressional District,CA,9,MAP
Cambria WQCP,06003030001,"6,500",,"1,001",,"6,500",0,6500,"8,500",,"1,001",,"8,500",0,8500,,,Cambria Community Service District,San Luis Obispo,Central Coastal,18060006,24th Congressional District,CA,9,MAP
Heritage Ranch Sewer Treatm Plant,06003033001,"3,600",,,,"3,600",0,3600,"3,700",,,,"3,700",0,3700,CA0048941,Individual Permit,Heritage Ranch Community Services District,San Luis Obispo,Salinas,18060005,24th Congressional District,CA,9,MAP
COUNTRY CLUB EST WWTF,06003034001,"1,400",,65,,"1,400",0,1400,"1,600",,65,,"1,600",0,1600,,,SAN LUIS OBISPO CSA #18,San Luis Obispo,Central Coastal,18060006,24th Congressional District,CA,9,MAP
SAN MIGUEL STP,06003035001,"1,400",,,,"1,400",0,1400,"1,900",,,,"1,900",0,1900,,,SAN MIGUEL CSD,San Luis Obispo,Salinas,18060005,24th Congressional District,CA,9,MAP
SAN SIMEON ACRES WWTF,06003036001,250,,1,,250,0,250,310,,1,,310,0,310,CA0047961,Individual Permit,San Simeon Acres Sanitary District,San Luis Obispo,Central Coastal,18060006,24th Congressional District,CA,9,MAP
SANTA BARBARA WWTF,06003037001,"89,082",,,,"89,082",0,89082,"115,807",,,,"115,807",0,115807,CA0048143,Individual Permit,"SANTA BARBARA, CITY OF",Santa Barbara,Santa Barbara Coastal,18060013,24th Congressional District,CA,9,MAP
Boulder Creek WWTF,06003038001,700,,23,,700,0,700,750,,23,,750,0,750,,,Santa Cruz County,Santa Cruz,San Lorenzo-Soquel,18060001,18th Congressional District,CA,9,MAP
SANTA MARIA WWTF,06003040001,"100,062",,19,,"100,062",0,100062,"105,065",,19,,"105,065",0,105065,,,"SANTA MARIA, CITY OF",Santa Barbara,Santa Maria,18060008,24th Congressional District,CA,9,MAP
SOLVANG WWTF,06003041001,"5,334","3,000",30,,"8,334",0,8334,"6,561","3,900",30,,"10,461",0,10461,,,"SOLVANG, CITY OF",Santa Barbara,Santa Ynez,18060010,24th Congressional District,CA,9,MAP
Summerland WWTP,06003042001,"2,000",,,,"2,000",0,2000,"2,300",,,,"2,300",0,2300,CA0048054,Individual Permit,Summerland Sanitary District,Santa Barbara,Santa Barbara Coastal,18060013,24th Congressional District,CA,9,MAP
Watsonville WWTF,06003044001,"51,822","12,800","5,000",,"64,622",0,64622,"55,359","16,000","5,000",,"71,359",0,71359,CA0048216,Individual Permit,"WATSONVILLE, CITY OF",Santa Cruz,Pajaro,18060002,20th Congressional District,CA,9,MAP
Pfeiffer Big Sur WWTF,06003046001,500,,,,500,0,500,500,,,,500,0,500,,,Pfeiffer State Park,Monterey,Salinas,18060005,20th Congressional District,CA,9,MAP
SAN JUAN BAUTISTA WWTF,06003047001,"1,800",,501,,"1,800",0,1800,"2,448",,501,,"2,448",0,2448,CA0047902,Individual Permit,SAN JUAN BAUTISTA SD,San Benito,Pajaro,18060002,17th Congressional District,CA,9,MAP
Laguna CSD WWTF,06003049001,"35,000",,,,"35,000",0,35000,"41,000",,,,"41,000",0,41000,,,Laguna County Sanitation District,Santa Barbara,Santa Maria,18060008,24th Congressional District,CA,9,MAP
Lompoc Regional WRP,06003050001,"42,854","6,500",,,"49,354",0,49354,"46,525","7,800",,,"54,325",0,54325,CA0048127,Individual Permit,"Lompoc, City of",Santa Barbara,Santa Ynez,18060010,24th Congressional District,CA,9,MAP
ATASCADERO ST HOSP WWTF,06003051001,"3,500",,,,"3,500",3500,0,"3,710",,,,"3,710",3710,0,,,ATASCADERO STATE HOSPITAL,San Luis Obispo,Santa Ynez,18060010,24th Congressional District,CA,9,MAP
MONTECITO WWTF,06003053001,"9,500",,568,,"9,500",0,9500,"12,160",,568,,"12,160",0,12160,CA0047899,Individual Permit,MONTECITO SD,Santa Barbara,Santa Barbara Coastal,18060013,24th Congressional District,CA,9,MAP
BEAR CREEK ESTATES WWTF,06003054002,200,,33,,200,0,200,292,,33,,292,0,292,,,SAN LORENZO VALLEY CWP,Santa Cruz,San Lorenzo-Soquel,18060001,18th Congressional District,CA,9,MAP
AVILA BEACH WWTF,06003058001,500,,219,,500,0,500,871,,219,,871,0,871,CA0047830,Individual Permit,AVILA BEACH CWD,San Luis Obispo,Central Coastal,18060006,24th Congressional District,CA,9,MAP
GILROY WWTF,06003060001,"50,158","44,909","6,001",,"95,067",0,95067,"59,036","50,683","6,001",,"109,719",0,109719,,,South County Regional Wastewater Authority,Santa Clara,Pajaro,18060002,20th Congressional District,CA,9,MAP
Carpinteria WWTF,06003061001,"16,000",,50,,"16,000",0,16000,"17,500",,50,,"17,500",0,17500,CA0047364,Individual Permit,Carpinteria Sanitary District,Santa Barbara,Santa Barbara Coastal,18060013,24th Congressional District,CA,9,MAP
Hollister Domestic WWTP,06003063001,"19,500",,,,"19,500",0,19500,"29,630",,,,"29,630",0,29630,,,HOLLISTER DOMESTIC PLANT,San Benito,Pajaro,18060002,20th Congressional District,CA,9,MAP
HOLLISTER INDUST. WWTF,06003063003,"35,533",,,,"35,533",0,35533,"39,680",,,,"39,680",0,39680,,,HOLLISTER INDUSTRIAL PLANT,San Benito,Pajaro,18060002,20th Congressional District,CA,9,MAP
CALIF MENS COLONY WWTF,06003064001,"3,597",,774,,"3,597",0,3597,"5,316",,774,,"5,316",0,5316,CA0047856,Individual Permit,CALIF DEPT OF CORRECTIONS,San Luis Obispo,Central Coastal,18060006,24th Congressional District,CA,9,MAP
CUYAMA WWTF,06003068001,800,,,,800,0,800,853,,,,853,0,853,CA0048089,Individual Permit,Cuyama Community Services District,Santa Barbara,Cuyama,18060007,24th Congressional District,CA,9,MAP
GONZALES WWTF,06003070001,"8,187",,,,"8,187",0,8187,"11,707",,,,"11,707",0,11707,,,"GONZALES, CITY OF",Monterey,Salinas,18060005,20th Congressional District,CA,9,MAP
Oak Shores WWTF,06003071001,751,,,,751,0,751,"1,091",,,,"1,091",0,1091,,,San Luis Obispo County Service Area No. 7A,San Luis Obispo,Salinas,18060005,24th Congressional District,CA,9,MAP
GUADALUPE WWTF,06003072001,"7,000",,680,,"7,000",0,7000,"8,890",,680,,"8,890",0,8890,,,"GUADALUPE, CITY OF",Santa Barbara,Santa Maria,18060008,24th Congressional District,CA,9,MAP
SAN ARDO WWTF,06003080001,500,,,,500,0,500,500,,,,500,0,500,,,SAN ARDO WATER DISTRICT,Monterey,Salinas,18060005,20th Congressional District,CA,9,MAP
SO SAN LUIS OB CO WWTF,06003081001,"40,000","30,358","3,924",,"70,358",0,70358,"48,000","33,500","3,924",,"81,500",0,81500,CA0048003,Individual Permit,OCEANO COMM. S.D.    D,San Luis Obispo,Central Coastal,18060006,24th Congressional District,CA,9,MAP
TRES PINOS WWTF,06003083001,350,,153,,350,0,350,"1,027",,153,,"1,027",0,1027,,,TRES PINOS CO. WATER DISTRICT,San Benito,Pajaro,18060002,20th Congressional District,CA,9,MAP
BIG BASIN ST PK WWTF,06003100001,55,,,,55,0,55,58,,,,58,0,58,CA0048267,Individual Permit,STATE DEPT PARKS,Santa Cruz,San Lorenzo-Soquel,18060001,18th Congressional District,CA,9,MAP
RIDGEMARK WWTF,06003115001,"3,120",,133,,"3,120",0,3120,"5,000",,133,,"5,000",0,5000,,,SUNNYSLOPE WATER DIST,San Benito,Pajaro,18060002,20th Congressional District,CA,9,MAP
OJAI VALLEY SD WWTF,06004002001,"20,000",,"1,885",,"20,000",0,20000,"23,000",,"1,885",,"23,000",0,23000,CA0053961,Individual Permit,OJAI VALLEY SANITARY DISTRICT,Ventura,Ventura,18070101,26th Congressional District,CA,9,MAP
Simi Valley WWTP,06004003001,"125,317",,416,,"125,317",0,125317,"138,203",,416,,"138,203",0,138203,CA0055221,Individual Permit,"Simi Valley, City of",Ventura,Santa Clara,18070102,26th Congressional District,CA,9,MAP
Ventura Water Reclamation Facility,06004006001,"107,166",,,,"107,166",0,107166,"124,000",,,,"124,000",0,124000,CA0053651,Individual Permit,"Ventura, City of",Ventura,Ventura,18070101,24th Congressional District,CA,9,MAP
Hill Canyon WWTP,06004007001,"128,031",,,,"128,031",0,128031,"140,700",,,,"140,700",0,140700,CA0056294,Individual Permit,"THOUSAND OAKS, CITY OF",Ventura,Calleguas,18070103,26th Congressional District,CA,9,MAP
GORMAN WWTF,06004008001,251,,30,,251,0,251,350,,30,,350,0,350,,,"LA DEPT. OF ENGR, CO. OF",Los Angeles,Middle Kern-Upper Tehachapi-Grapevine,18030003,23rd Congressional District,CA,9,MAP
WARM SPRINGS REHAB WWTF,06004008002,264,,,,264,0,264,265,,,,265,0,265,,,L.A. CO. DEPT. OF PUBLIC WORKS,Los Angeles,Santa Clara,18070102,25th Congressional District,CA,9,MAP
TRANCAS WWTF,06004008003,820,,,,820,0,820,900,,,,900,0,900,,,L. A. Co. Department of Public Works,Los Angeles,Santa Monica Bay,18070104,33rd Congressional District,CA,9,MAP
MALIBU WWTF,06004008010,400,,"12,575",,400,0,400,500,,"13,000",,500,0,500,,,L.A. County Department of Public Works,Los Angeles,Santa Monica Bay,18070104,34th Congressional District,CA,9,MAP
MILLER-KILPATRICK WWTF,06004008012,351,,45,,351,0,351,343,,45,,343,0,343,,,L.A. CO. MECHANICAL DEPT.,Los Angeles,Santa Monica Bay,18070104,34th Congressional District,CA,9,MAP
MUNTZ-MENDENHALL WWTF,06004008014,199,,,,199,0,199,214,,,,214,0,214,,,"LA, CO. OF-MECH DEPT",Los Angeles,Santa Monica Bay,18070104,33rd Congressional District,CA,9,MAP
PAIGE-AFFLERBAUGH WWTF,06004008016,188,,,,188,0,188,214,,,,214,0,214,,,"LA, CO. OF - MECH DEPT.",Los Angeles,San Gabriel,18070106,27th Congressional District,CA,9,MAP
Joint WPCP,06004009001,,"3,200,120",,,"3,200,120",0,3200120,,"4,500,148",,,"4,500,148",0,4500148,CA0053813,Individual Permit,LACSD,Los Angeles,Santa Monica Bay,18070104,44th Congressional District,CA,9,MAP
Pomona WRP,06004009002,"128,000","34,200",,,"162,200",0,162200,"130,000","35,000",,,"165,000",0,165000,CA0053619,Individual Permit,County Sanitation Districts of Los Angeles County,Los Angeles,San Gabriel,18070106,35th Congressional District,CA,9,MAP
San Jose Creek WRP,06004009003,"930,389","69,611",,,"1,000,000",0,1000000,"1,160,000","89,130",,,"1,249,130",0,1249130,CA0053911,Individual Permit,County Sanitation Districts of Los Angeles County,Los Angeles,San Gabriel,18070106,38th Congressional District,CA,9,MAP
Whittier Narrows WRP,06004009004,"87,000","69,611",,,"156,611",0,156611,"95,000","89,130",,,"184,130",0,184130,CA0053716,Individual Permit,County Sanitation Districts of Los Angeles County,Los Angeles,San Gabriel,18070106,38th Congressional District,CA,9,MAP
Los Coyotes WRP,06004009005,"370,000",,,,"370,000",0,370000,"395,000",,,,"395,000",0,395000,CA0054011,Individual Permit,County Sanitation Districts of Los Angeles County,Los Angeles,San Gabriel,18070106,38th Congressional District,CA,9,MAP
Long Beach WRP,06004009006,"220,000",,,,"220,000",0,220000,"240,000",,,,"240,000",0,240000,CA0054119,Individual Permit,County Sanitation Districts of Los Angeles County,Los Angeles,San Gabriel,18070106,47th Congressional District,CA,9,MAP
Saugus WRP,06004009007,"51,000",313,,,"51,313",0,51313,"68,694",294,,,"68,988",0,68988,CA0054313,Individual Permit,County Sanitation Districts of Los Angeles County,Los Angeles,Santa Clara,18070102,25th Congressional District,CA,9,MAP
Valencia WRP,06004009008,"120,000",,,,"120,000",0,120000,"130,000",,,,"130,000",0,130000,CA0054216,Individual Permit,County Sanitation Districts of Los Angeles County,Los Angeles,Santa Clara,18070102,25th Congressional District,CA,9,MAP
Lancaster WRP,06004009009,"160,000",,"6,450",,"160,000",0,160000,"252,248",,"13,276",,"252,248",0,252248,CA0054216,Individual Permit,County Sanitation Districts of Los Angeles County,Los Angeles,Antelope-Fremont Valleys,18090206,25th Congressional District,CA,9,MAP
Palmdale WRP,06004009010,"150,000",,,,"150,000",0,150000,"216,000",,,,"216,000",0,216000,,,County Sanitation Districts of Los Angeles County,Los Angeles,Antelope-Fremont Valleys,18090206,25th Congressional District,CA,9,MAP
LA CANADA WRP,06004009014,"1,700",,,,"1,700",0,1700,"1,700",,,,"1,700",0,1700,,,LACSD,Los Angeles,San Gabriel,18070106,27th Congressional District,CA,9,MAP
Hyperion WWTP,06004010001,,"3,900,969",,,"3,900,969",0,3900969,,"4,897,681",,,"4,897,681",0,4897681,CA0109991,Individual Permit,"Los Angeles, City of - Bureau of Sanitation",Los Angeles,Santa Monica Bay,18070104,33rd Congressional District,CA,9,MAP
Terminal Island WWTP,06004010002,"130,000",,,,"130,000",0,130000,"130,000",,,,"130,000",0,130000,CA0053856,Individual Permit,"City of Los Angeles, Bureau of Sanitation",Los Angeles,Santa Monica Bay,18070104,44th Congressional District,CA,9,MAP
L.A.-Glendale WRP,06004010003,,"252,100",,,"252,100",0,252100,,"261,515",,,"261,515",0,261515,CA0053953,Individual Permit,"City of Los Angeles, Bureau of Sanitation",Los Angeles,Los Angeles,18070105,28th Congressional District,CA,9,MAP
D.C. Tillman WRP,06004010004,"1,100,000",,,,"1,100,000",0,1100000,"1,300,000",,,,"1,300,000",0,1300000,CA0056227,Individual Permit,"City of Los Angeles, Bureau of Sanitation",Los Angeles,Los Angeles,18070105,30th Congressional District,CA,9,MAP
MONTALVO WWTF,06004011009,"2,400",,234,,"2,400",0,2400,"3,264",,234,,"3,264",0,3264,,,VENTURA REGIONAL CSD,Ventura,Santa Clara,18070102,26th Congressional District,CA,9,MAP
Saticoy SD Sewage Treatment Plant,06004011010,"1,000",,,,"1,000",0,1000,"1,722",,,,"1,722",0,1722,,,Saticoy Sanitation District,Ventura,Santa Clara,18070102,26th Congressional District,CA,9,MAP
Moorpark WWTF,06004014001,"37,576",,,,"37,576",0,37576,"51,422",,,,"51,422",0,51422,CA0063274,Individual Permit,Ventura County Public Works Agency,Ventura,Calleguas,18070103,26th Congressional District,CA,9,MAP
AVALON WWRF,06004016001,"3,800",,"2,501",,"3,800",0,3800,"4,253",,"2,501",,"4,253",0,4253,CA0054372,Individual Permit,"AVALON, CITY OF",Los Angeles,San Pedro Channel Islands,18070107,47th Congressional District,CA,9,MAP
FILLMORE WWTF,06004017001,"15,145",,119,,"15,145",0,15145,"18,151",,119,,"18,151",0,18151,,,FILLMORE  WWTP,Ventura,Santa Clara,18070102,26th Congressional District,CA,9,MAP
Camrosa Water Reclamation Facility,06004018001,,"17,740",,,"17,740",0,17740,,"18,000",,,"18,000",0,18000,CA0059501,Individual Permit,Camarillo Water District,Ventura,Calleguas,18070103,26th Congressional District,CA,9,MAP
Piru WWTF,06004020001,"2,250",,,,"2,250",0,2250,"3,400",,,,"3,400",0,3400,,,Ventura County Public Works Agency,Ventura,Santa Clara,18070102,26th Congressional District,CA,9,MAP
NYELAND ACRES WWTF,06004022002,"1,052",,"1,435",,"1,052",0,1052,"2,514",,"1,435",,"2,514",0,2514,CA0104451,Individual Permit,VENTURA COUNTY OF,Ventura,Ventura,18070101,51st Congressional District,CA,9,MAP
Tapia WRF,06004026001,"55,895","31,600","2,000",,"87,495",0,87495,"77,000","33,500","2,000",,"110,500",0,110500,CA0056014,Individual Permit,LAS VIRGENES MUNWD,Los Angeles,Los Angeles,18070105,33rd Congressional District,CA,9,MAP
Oxnard WWTP,06004027001,"200,390","26,875","2,560",,"227,265",0,227265,"227,931","30,589","2,560",,"258,520",0,258520,CA0054097,Individual Permit,"OXNARD, CITYOF",Ventura,Calleguas,18070103,26th Congressional District,CA,9,MAP
CAMARILLO WWTF,06004029001,"48,000",,,,"48,000",0,48000,"53,000",,,,"53,000",0,53000,CA0053597,Individual Permit,CAMARILLO SANITARY DISTRICT,Ventura,Calleguas,18070103,26th Congressional District,CA,9,MAP
Burbank WRP,06004032001,"104,427",,,,"104,427",104427,0,"107,559",,,,"107,559",107559,0,CA0055531,Individual Permit,"BURBANK, CITY OF",Los Angeles,Los Angeles,18070105,28th Congressional District,CA,9,MAP
Santa Paula WRF,06004044001,"28,500",,,,"28,500",0,28500,"30,000",,,,"30,000",0,30000,,,City of Santa Paula,Ventura,Santa Clara,18070102,26th Congressional District,CA,9,MAP
OAKDALE WWTF,06005001001,"21,274",,,,"21,274",0,21274,"29,000",,,,"29,000",0,29000,,,"OAKDALE, CITYOF",Stanislaus,Middle San Joaquin-Lower Merced- Lower Stanislaus,18040002,10th Congressional District,CA,9,MAP
WOODLAND WWTF,06005004001,"49,151",,,,"49,151",0,49151,"59,000",,,,"59,000",0,59000,CA0077950,Individual Permit,"WOODLAND, CITY OF",Yolo,Paynes Creek-Sacramento River,18020155,3rd Congressional District,CA,9,MAP
MCFARLAND WWTF,06005006001,"5,576",,76,,"5,576",0,5576,"6,978",,76,,"6,978",0,6978,,,"MCFARLAND, CITY OF",Kern,Tulare-Buena Vista Lakes,18030012,21st Congressional District,CA,9,MAP
HANFORD WWTF,06005008001,"45,000",,,,"45,000",0,45000,"49,000",,,,"49,000",0,49000,,,"HANFORD, CITY OF",Kings,Tulare-Buena Vista Lakes,18030012,21st Congressional District,CA,9,MAP
Sacramento Regional WWTF,06005009001,,"2,809,116",,,"2,809,116",0,2809116,,"3,461,135",,,"3,461,135",0,3461135,CA0077682,Individual Permit,Sacramento County Regional Sanitation District,Sacramento,Cache Slough-Sacramento River,18020163,3rd Congressional District,CA,9,MAP
Bakersfield WWTP #2,06005010001,"106,500","39,863",,,"146,363",0,146363,"140,000","61,098",,,"201,098",0,201098,,,"BAKERSFIELD, CITY OF",Kern,Tulare-Buena Vista Lakes,18030012,21st Congressional District,CA,9,MAP
Bakersfield WWTP #3,06005010002,"141,000",,"5,000",,"141,000",0,141000,"215,000",,"5,000",,"215,000",0,215000,,,"BAKERSFIELD, CITY OF",Kern,Tulare-Buena Vista Lakes,18030012,23rd Congressional District,CA,9,MAP
Chico WPCP,06005011001,"86,900",,,,"86,900",0,86900,"89,000",,,,"89,000",0,89000,CA0079081,Individual Permit,"CHICO, CITYOF",Butte,Butte Creek,18020158,1st Congressional District,CA,9,MAP
KERMAN WWTF,06005012001,"13,659",,182,,"13,659",0,13659,"16,536",,565,,"16,536",0,16536,,,"KERMAN, CITY OF",Fresno,Tulare-Buena Vista Lakes,18030012,21st Congressional District,CA,9,MAP
COULTERVILLE WWTF,06005014001,240,,,,240,0,240,414,,,,414,0,414,,,MARIPOSA COUNTY PWD,Mariposa,Upper Merced,18040008,4th Congressional District,CA,9,MAP
TULARE WWTF,06005015001,"39,000",,,,"39,000",0,39000,"46,000",,,,"46,000",0,46000,,,"TULARE, CITY OF",Tulare,Tulare-Buena Vista Lakes,18030012,22nd Congressional District,CA,9,MAP
PORTOLA WWTF,06005018001,"2,050",,23,,"2,050",0,2050,"2,524",,23,,"2,524",0,2524,CA0077844,Individual Permit,CITY OF PORTOLA,Plumas,Middle Fork Feather,18020123,1st Congressional District,CA,9,MAP
Lathrop WRP-1,06005019002,"18,908",,,,"18,908",0,18908,"32,635",,,,"32,635",0,32635,,,"LATHROP, CITY OF",San Joaquin,San Joaquin Delta,18040003,9th Congressional District,CA,9,MAP
Crossroads Wastewater Treatment Plant,06005019004,"18,908",,,,"18,908",0,18908,"32,635",,,,"32,635",0,32635,,,"LATHROP, CITY OF",San Joaquin,San Joaquin Delta,18040003,9th Congressional District,CA,9,MAP
DISCOVERY BAY WWTF,06005020001,"7,000",,,,"7,000",0,7000,"7,000",,,,"7,000",0,7000,CA0078590,Individual Permit,CONTRA COSTA CSD #19,Contra Costa,San Joaquin Delta,18040003,9th Congressional District,CA,9,MAP
ORANGE COVE WWTF,06005022001,"7,722",,,,"7,722",0,7722,"9,500",,,,"9,500",0,9500,,,"ORANGE COVE, CITY OF",Fresno,Tulare-Buena Vista Lakes,18030012,22nd Congressional District,CA,9,MAP
Anderson WWTF,06005023002,"8,500",,"1,500",,"8,500",0,8500,"13,750",,"1,500",,"13,750",0,13750,CA0077704,Individual Permit,"ANDERSON, CITY OF",Shasta,Shasta,18010207,1st Congressional District,CA,9,MAP
Live Oak WWTP,06005024001,"8,247",,,,"8,247",0,8247,"10,300",,,,"10,300",0,10300,CA0079022,Individual Permit,City of Live Oak,Sutter,Middle Fork Feather,18020123,3rd Congressional District,CA,9,MAP
Stockton Regional WWCF,06005025001,"292,133","21,524","36,819",,"313,657",0,313657,"417,067","26,184","36,819",,"443,251",0,443251,CA0079138,Individual Permit,"STOCKTON, CITY OF",San Joaquin,San Joaquin Delta,18040003,9th Congressional District,CA,9,MAP
LOS BANOS WWTF,06005026001,"32,380",,,,"32,380",0,32380,"33,000",,,,"33,000",0,33000,,,"LOS BANOS, CITY OF",Merced,Middle San Joaquin-Lower Chowchilal,18040001,16th Congressional District,CA,9,MAP
RIPON WWTF,06005028001,"15,000",,"2,562",,"15,000",0,15000,"40,000",,"2,562",,"40,000",0,40000,,,"RIPON, CITY OF",San Joaquin,Middle San Joaquin-Lower Merced- Lower Stanislaus,18040002,10th Congressional District,CA,9,MAP
Newcastle WWTF,06005029001,"1,112",,45,,"1,112",0,1112,"1,550",,45,,"1,550",0,1550,,,Newcastle Sanitary District,Placer,Lower American,18020111,4th Congressional District,CA,9,MAP
OLIVEHURST WWTF,06005031001,"14,000",,999,,"14,000",0,14000,"19,000",,999,,"19,000",0,19000,CA0077836,Individual Permit,OLIVEHURST PUB UTIL DIST,Yuba,Honcut Creek-Lower Feather River,18020159,3rd Congressional District,CA,9,MAP
Woodlake WWTF,06005032001,"7,100",,,,"7,100",0,7100,"11,108",,,,"11,108",0,11108,,,"Woodlake, City of",Tulare,Tulare-Buena Vista Lakes,18030012,23rd Congressional District,CA,9,MAP
Williams WWTF,06005033001,"5,245",,,,"5,245",0,5245,"6,698",,,,"6,698",0,6698,CA0077933,Individual Permit,"WILLIAMS, CITY OF",Colusa,Sacramento-Stone Corral,18020104,3rd Congressional District,CA,9,MAP
WILLOWS WWTF,06005035001,"6,107",,,,"6,107",0,6107,"6,300",,,,"6,300",0,6300,CA0078034,Individual Permit,"WILLOWS, CITY OF",Glenn,Sacramento-Stone Corral,18020104,3rd Congressional District,CA,9,MAP
TRANQUILLITY WWTF,06005036001,673,,80,,673,0,673,790,,80,,790,0,790,,,TRANQUILLITY PUD,Fresno,Tulare-Buena Vista Lakes,18030012,21st Congressional District,CA,9,MAP
BASS LAKE WWTF,06005038001,"1,430",,487,,"1,430",0,1430,"2,333",,487,,"2,333",0,2333,,,MADERA CO. SVC. AREA NO 2,Madera,Upper San Joaquin,18040006,4th Congressional District,CA,9,MAP
LINDSAY WWTF,06005039001,"8,450",,161,,"8,450",0,8450,"8,711",,161,,"8,711",0,8711,,,"LINDSAY, CITY OF",Tulare,Tulare-Buena Vista Lakes,18030012,22nd Congressional District,CA,9,MAP
AUBURN WWTF,06005040001,"12,634",,,,"12,634",0,12634,"14,000",,,,"14,000",14000,0,CA0077712,Individual Permit,"AUBURN, CITY OF",Placer,Auburn Ravine-Coon Creek,18020161,1st Congressional District,CA,9,MAP
Colusa WWTP,06005041001,"5,670",,430,,"5,670",0,5670,"10,240",,430,,"10,240",0,10240,CA0078999,Individual Permit,City of Colusa,Colusa,Sacramento-Stone Corral,18020104,3rd Congressional District,CA,9,MAP
Delano WWTF,06005042003,"38,423",,,,"38,423",0,38423,"58,401",,,,"58,401",0,58401,,,"DELANO, CITY OF",Kern,Tulare-Buena Vista Lakes,18030012,21st Congressional District,CA,9,MAP
Chowchilla WWTP,06005043001,"8,000",,,,"8,000",0,8000,"15,000",,,,"15,000",0,15000,,,"Chowchilla, City of",Madera,Middle San Joaquin-Lower Chowchilal,18040001,16th Congressional District,CA,9,MAP
DONNER SUMMIT WWTF,06005045001,"1,400",134,,,"1,534",0,1534,"2,300",773,,,"3,073",0,3073,CA0081621,Individual Permit,DONNER SUMMIT PUD,Nevada,Upper Yuba,18020125,4th Congressional District,CA,9,MAP
EARLIMART WWTF,06005047001,"8,000",,,,"8,000",0,8000,"10,215",,,,"10,215",0,10215,,,EARLIMART PUD,Tulare,Tulare-Buena Vista Lakes,18030012,21st Congressional District,CA,9,MAP
FIREBAUGH WWTF,06005049001,"4,666",,451,,"4,666",0,4666,"5,634",,451,,"5,634",0,5634,,,"FIREBAUGH, CITY OF",Fresno,Middle San Joaquin-Lower Chowchilal,18040001,21st Congressional District,CA,9,MAP
FRANKLIN WWTF,06005051001,"5,250",,501,,"5,250",0,5250,"7,325",,501,,"7,325",0,7325,,,FRANKLIN COUNTY WATER DISTRICT,Merced,Middle San Joaquin-Lower Chowchilal,18040001,16th Congressional District,CA,9,MAP
Fresno-Clovis Regional WRF,06005053001,"940,220",,,,"940,220",0,940220,"1,100,000",,,,"1,100,000",0,1100000,,,"FRESNO, CITY OF",Fresno,Tulare-Buena Vista Lakes,18030012,16th Congressional District,CA,9,MAP
GALT WWTF,06005054001,"25,093",,,,"25,093",0,25093,"50,094",,,,"50,094",0,50094,CA0081434,Individual Permit,City of Galt,Sacramento,Upper Cosumnes,18040013,7th Congressional District,CA,9,MAP
GRAYSON WWTF,06005055001,802,,,,802,0,802,723,,,,723,0,723,,,GRAYSON COMM SERV DIST,Stanislaus,Upper Cosumnes,18040013,9th Congressional District,CA,9,MAP
HURON WWTF,06005056001,"6,306",,,,"6,306",0,6306,"7,500",,,,"7,500",0,7500,,,CITY OF HURON WWTF,Fresno,Tulare-Buena Vista Lakes,18030012,21st Congressional District,CA,9,MAP
ISLETON WWTF,06005057001,828,,,,828,0,828,"1,400",,,,"1,400",0,1400,,,"ISLETON, CITY OF",Sacramento,Sacramento Headwaters,18020005,3rd Congressional District,CA,9,MAP
IVANHOE WWTF,06005058001,"4,700",,200,,"4,700",0,4700,"5,944",,200,,"5,944",0,5944,,,Ivanhoe Public Utility District,Tulare,Tulare-Buena Vista Lakes,18030012,22nd Congressional District,CA,9,MAP
LAKE CO NW REG WWTP,06005060004,,"8,624",,,"8,624",8624,0,,"20,271",,,"20,271",20271,0,,,LAKE CO. S.D.,Lake,Russian,18010110,3rd Congressional District,CA,9,MAP
Brentwood WWTP,06005061001,"53,094",,500,,"53,094",0,53094,"55,264",,500,,"55,264",0,55264,CA0082660,Individual Permit,"Brentwood, City of",Contra Costa,San Joaquin Delta,18040003,11th Congressional District,CA,9,MAP
