CWNS Number,Facility/Project Name,Discharge Method,Present Discharge,Present Flow %,Present Discharge To Facility,Present Discharge To Facility Name,Present Effluent Treatment Level,Present Disinfection,Present BOD Removal,Present Nitrogen Removal,Present Phosphorous Removal,Present Ammonia Removal,Projected Discharge,Projected Flow %,Projected Discharge To Facility,Projected Discharge To Facility Name,Projected Effluent Treatment Level,Projected Disinfection,Projected BOD Removal,Projected Nitrogen Removal,Projected Phosphorous Removal,Projected Ammonia Removal,Permit Number,Permit Type,Authority Name,County Name,Watershed Name,Watershed HUC,Congressional District,State,Region,Map
13000575009,ROCKDALE CO.(SCOTT CREEK),Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0026239,Individual Permit,"CONYERS, CITY OF",Rockdale,Upper Ocmulgee,03070103,4th Congressional District,GA,4,MAP
13000575010,ROCKDALE CO.(HONEY CREEK),Outfall To Surface Waters,Y,,,,Secondary,Y,,,,,Y,,,,Secondary,Y,,,,,GA0022659,Individual Permit,"CONYERS, CITY OF",Rockdale,Upper Ocmulgee,03070103,4th Congressional District,GA,4,MAP
13000576001,COOLIDGE LAS,Spray Irrigation,Y,,,,Advanced Primary,N,,,,,Y,,,,Advanced Primary,N,,,,,,,"COOLIDGE, CITY OF",Thomas,Upper Ochlockonee,03120002,8th Congressional District,GA,4,MAP
13000578001,CORNELIA WPCP,Outfall To Surface Waters,Y,,,,Advanced Treatment,N,Y,,,Y,Y,,,,Advanced Treatment,N,Y,,,Y,GA0021504,Individual Permit,"CORNELIA, CITY OF",Habersham,Upper Chattahoochee,03130001,9th Congressional District,GA,4,MAP
13000579001,"CRAWFORD,WPCP #1 (EAST)",Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0033693,Individual Permit,"CRAWFORD, CITY OF",Oglethorpe,Broad,03060104,10th Congressional District,GA,4,MAP
13000579002,CRAWFORD WPCP #2 (WEST),Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0033707,Individual Permit,"CRAWFORD, CITY OF",Oglethorpe,Upper Oconee,03070101,10th Congressional District,GA,4,MAP
13000583001,DAHLONEGA WPCP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0026077,Individual Permit,"DAHLONEGA, CITY OF",Lumpkin,Upper Chattahoochee,03130001,9th Congressional District,GA,4,MAP
13000585001,DALLAS NORTH WPCP,Outfall To Surface Waters,Y,,,,Advanced Treatment,N,Y,,,Y,Y,,,,Advanced Treatment,N,Y,,,Y,GA0026034,Individual Permit,Dallas,Paulding,Etowah,03150104,14th Congressional District,GA,4,MAP
13000585002,DALLAS WEST WPCP,Discharge To Another Facility,N,,,,Advanced Treatment,N,Y,,,Y,Y,100,13000585001,DALLAS NORTH WPCP,,,,,,,GA0026026,Individual Permit,"DALLAS, CITY OF",Paulding,Etowah,03150104,14th Congressional District,GA,4,MAP
13000585002,DALLAS WEST WPCP,Outfall To Surface Waters,Y,100,,,Advanced Treatment,N,Y,,,Y,N,,,,,,,,,,GA0026026,Individual Permit,"DALLAS, CITY OF",Paulding,Etowah,03150104,14th Congressional District,GA,4,MAP
13000588001,DAVISBORO LAS,Spray Irrigation,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,,,Davisboro,Washington,Ohoopee,03070107,10th Congressional District,GA,4,MAP
13000589001,DAWSON WPCP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0021326,Individual Permit,"DAWSON, CITY OF",Terrell,Ichawaynochaway,03130009,2nd Congressional District,GA,4,MAP
13000590001,DAWSONVILLE FLAT CREEK LAS,Spray Irrigation,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,,,"DAWSONVILLE, TOWN OF",Dawson,Etowah,03150104,9th Congressional District,GA,4,MAP
13000591001,DEARING LAS,Spray Irrigation,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,,,Thomson,McDuffie,Brier,03060108,10th Congressional District,GA,4,MAP
13000594001,DEMOREST WPCP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0032506,Individual Permit,"DEMOREST, TOWN OF",Habersham,Upper Chattahoochee,03130001,9th Congressional District,GA,4,MAP
13000596001,DEXTER WPCP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0048682,Individual Permit,"DEXTER, TOWN OF",Laurens,Lower Oconee,03070102,12th Congressional District,GA,4,MAP
13000597001,DILLARD WPCP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0047139,Individual Permit,"DILLARD, TOWN OF",Rabun,Upper Little Tennessee,06010202,9th Congressional District,GA,4,MAP
13000598001,DOERUN WPCP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0021717,Individual Permit,"DOERUN, CITY OF",Colquitt,Upper Ochlockonee,03120002,8th Congressional District,GA,4,MAP
13000599001,DONALSONVILLE,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Advanced Treatment,N,,,,Y,GA0026123,Individual Permit,City of Donalsonville,Seminole,Spring,03130010,2nd Congressional District,GA,4,MAP
13000600002,DOUGLASVILLE NORTH WPCP,Outfall To Surface Waters,Y,,,,Advanced Treatment,N,Y,,,,Y,,,,Advanced Treatment,N,Y,,,Y,GA0030350,Individual Permit,"DOUGLASVILLE, CITY OF",Douglas,Middle Chattahoochee-Lake Harding,03130002,13th Congressional District,GA,4,MAP
13000602001,DUDLEY OXIDATION POND,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0023957,Individual Permit,"DUDLEY, TOWN OF",Laurens,Lower Oconee,03070102,12th Congressional District,GA,4,MAP
13000605001,SHENANDOAH WPCP,Outfall To Surface Waters,Y,,,,Advanced Treatment,N,Y,,,Y,Y,,,,Advanced Treatment,N,Y,,,Y,GA0038822,Individual Permit,COWETA COUNTY WATER AND S,Coweta,Upper Flint,03130005,3rd Congressional District,GA,4,MAP
13000608001,EDISON POND,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,Y,,,,,GA0037427,Individual Permit,Edison,Calhoun,Ichawaynochaway,03130009,2nd Congressional District,GA,4,MAP
13000609001,FORTSON CREEK WPCP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0025631,Individual Permit,"ELBERTON, CITY OF",Elbert,Upper Savannah,03060103,9th Congressional District,GA,4,MAP
13000609002,FALLING CREEK WPCP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0025682,Individual Permit,"ELBERTON, CITY OF",Elbert,Broad,03060104,9th Congressional District,GA,4,MAP
13000610001,ELLAVILLE POND,Outfall To Surface Waters,Y,,,,Advanced Treatment,N,Y,,,Y,Y,,,,Advanced Treatment,N,Y,,,Y,GA0050105,Individual Permit,"ELLAVILLE, CITY OF",Schley,Middle Flint,03130006,2nd Congressional District,GA,4,MAP
13000612001,ELLIJAY WPCP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0021369,Individual Permit,"ELLIJAY, CITY OF",Gilmer,Coosawattee,03150102,9th Congressional District,GA,4,MAP
13000613001,EMERSON WPCP,Outfall To Surface Waters,Y,,,,Advanced Treatment,N,Y,,,,Y,,,,Advanced Treatment,N,Y,,,,GA0026115,Individual Permit,"EMERSON, CITY OF",Bartow,Etowah,03150104,11th Congressional District,GA,4,MAP
13000616001,FAIRMOUNT WPCP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0046388,Individual Permit,City of Fairmount,Gordon,Coosawattee,03150102,14th Congressional District,GA,4,MAP
13000618002,FITZGERALD C.S. NO 1,Spray Irrigation,Y,100,,,Secondary,N,,,,,Y,100,,,,,,,,,,,FITZGERALD WLBC,Ben Hill,Alapaha,03110202,8th Congressional District,GA,4,MAP
13000621001,FLOWERY BRANCH WPCP,Outfall To Surface Waters,Y,100,,,Advanced Treatment,N,Y,,Y,Y,Y,100,,,Advanced Treatment,N,Y,,Y,Y,GA0031933,Individual Permit,Flowery Branch,Hall,Upper Chattahoochee,03130001,9th Congressional District,GA,4,MAP
13000622001,FOLKSTON WPCP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0027189,Individual Permit,"FOLKSTON, CITY OF",Charlton,St. Marys,03070204,1st Congressional District,GA,4,MAP
13000623001,FORSYTH NORTHEAST WPCP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0031801,Individual Permit,"FORSYTH, CITY OF",Monroe,Upper Ocmulgee,03070103,8th Congressional District,GA,4,MAP
13000623002,FORSYTH SOUTH WPCP,Outfall To Surface Waters,Y,,,,Advanced Treatment,N,Y,,Y,Y,Y,,,,Advanced Treatment,N,Y,,Y,Y,GA0024732,Individual Permit,"FORSYTH, CITY OF",Monroe,Upper Ocmulgee,03070103,8th Congressional District,GA,4,MAP
13000625001,FORT STEWART WPCF,Outfall To Surface Waters,Y,100,,,Advanced Treatment,N,Y,,,,Y,10,,,Advanced Treatment,N,Y,,Y,,GA0047180,Individual Permit,"HINESVILLE, CITY OF",Liberty,Canoochee,03060203,1st Congressional District,GA,4,MAP
13000625001,FORT STEWART WPCF,Reuse: Irrigation,N,,,,Advanced Treatment,N,Y,,,,Y,90,,,Advanced Treatment,N,Y,,Y,,GA0047180,Individual Permit,"HINESVILLE, CITY OF",Liberty,Canoochee,03060203,1st Congressional District,GA,4,MAP
13000626001,FORT VALLEY WPCP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0031046,Individual Permit,"FORT VALLEY, CITY OF",Peach,Lower Ocmulgee,03070104,2nd Congressional District,GA,4,MAP
13000627001,Heard County Water Authority,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0021148,Individual Permit,"FRANKLIN, CITY OF",Heard,Middle Chattahoochee-Lake Harding,03130002,3rd Congressional District,GA,4,MAP
13000632001,GIBSON WPCP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0021849,Individual Permit,Gibson,Glascock,Upper Ogeechee,03060201,10th Congressional District,GA,4,MAP
13000635001,GLENWOOD LAGOON,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0021377,Individual Permit,Glenwood,Wheeler,Lower Oconee,03070102,12th Congressional District,GA,4,MAP
13000637001,GORDON WPCF,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0020397,Individual Permit,"GORDON, TOWN OF",Wilkinson,Lower Oconee,03070102,8th Congressional District,GA,4,MAP
13000638001,GRANTVILLE WPCP NO 1,Spray Irrigation,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,,,"GRANTVILLE, CITY OF",Coweta,Middle Chattahoochee-Lake Harding,03130002,3rd Congressional District,GA,4,MAP
13000638002,GRANTVILLE WPCP NO 2,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0033201,Individual Permit,Grantville,Coweta,Middle Chattahoochee-Lake Harding,03130002,3rd Congressional District,GA,4,MAP
13000638003,GRANTVILLE WPCP NO 3,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0033219,Individual Permit,"GRANTVILLE, CITY OF",Coweta,Middle Chattahoochee-Lake Harding,03130002,3rd Congressional District,GA,4,MAP
13000638004,GRANTVILLE WPCP NO4,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0033227,Individual Permit,"GRANTVILLE, CITY OF",Coweta,Middle Chattahoochee-Lake Harding,03130002,3rd Congressional District,GA,4,MAP
13000640001,GRAY WOLF CREEK WPCP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Advanced Treatment,N,Y,,,Y,GA0026085,Individual Permit,"GRAY, CITY OF",Jones,Lower Oconee,03070102,8th Congressional District,GA,4,MAP
13000642002,GREENSBORO SOUTH WPCP,Outfall To Surface Waters,Y,,,,Advanced Treatment,N,Y,,,,Y,,,,Advanced Treatment,N,Y,,,,GA0021351,Individual Permit,"GREENSBORO, CITY OF",Greene,Upper Oconee,03070101,10th Congressional District,GA,4,MAP
13000643001,GREENVILLE WPCP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0047813,Individual Permit,"GREENVILLE, CITY OF",Meriwether,Upper Flint,03130005,3rd Congressional District,GA,4,MAP
13000645001,HAHIRA WTF,Reuse: Irrigation,N,,,,Advanced Treatment,N,Y,,,Y,Y,42,,,Advanced Treatment,N,Y,,,Y,GA0037974,Individual Permit,Hahira,Lowndes,Little,03110204,8th Congressional District,GA,4,MAP
13000645001,HAHIRA WTF,Outfall To Surface Waters,Y,100,,,Advanced Treatment,N,Y,,,Y,Y,58,,,Advanced Treatment,N,Y,,,Y,GA0037974,Individual Permit,Hahira,Lowndes,Little,03110204,8th Congressional District,GA,4,MAP
13000646001,HAMILTON WPCP,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,GA0033618,Individual Permit,"HAMILTON, CITY OF",Harris,Middle Chattahoochee-Lake Harding,03130002,3rd Congressional District,GA,4,MAP
13000647001,HAMPTON WPCP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0020320,Individual Permit,"HAMPTON, CITY OF",Henry,Upper Ocmulgee,03070103,3rd Congressional District,GA,4,MAP
13000649001,HARTWELL WPCP,Reuse: Irrigation,Y,,,,Advanced Treatment,N,Y,,,,Y,,,,Advanced Treatment,N,Y,,,,,,Hartwell,Hart,Upper Savannah,03060103,9th Congressional District,GA,4,MAP
13000650001,HAWKINSVILLE WPCP,Outfall To Surface Waters,Y,,,,Advanced Treatment,N,Y,,,,Y,,,,Advanced Treatment,N,Y,,,,GA0020338,Individual Permit,"HAWKINSVILLE, CITY OF",Pulaski,Lower Ocmulgee,03070104,8th Congressional District,GA,4,MAP
13000651001,HAZELHURST WPCP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0036765,Individual Permit,HAZLERHURST CITY OF,Jeff Davis,Lower Ocmulgee,03070104,12th Congressional District,GA,4,MAP
13000652001,HELEN LAS,Spray Irrigation,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,,,"HELEN, TOWN OF",White,Upper Chattahoochee,03130001,9th Congressional District,GA,4,MAP
13000654001,HILTONIA LAS,Spray Irrigation,Y,,,,Advanced Primary,N,,,,,Y,,,,Advanced Primary,N,,,,,,,"HILLTONIA, TOWN OF",Screven,Brier,03060108,12th Congressional District,GA,4,MAP
13000655001,Paulding County LAS,Spray Irrigation,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,,,"HIRAM, CITY OF",Paulding,Middle Chattahoochee-Lake Harding,03130002,14th Congressional District,GA,4,MAP
13000657001,HOGANSVILLE WPCP,Spray Irrigation,Y,100,,,Secondary,N,,,,,N,,,,Secondary,N,,,,,,,City of Hogansville,Troup,Middle Chattahoochee-Lake Harding,03130002,3rd Congressional District,GA,4,MAP
13000657001,HOGANSVILLE WPCP,Outfall To Surface Waters,N,,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,,,City of Hogansville,Troup,Middle Chattahoochee-Lake Harding,03130002,3rd Congressional District,GA,4,MAP
13000660001,HOMERVILLE WPCP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0031828,Individual Permit,"HOMERVILLE, CITY OF",Clinch,Upper Suwannee,03110201,1st Congressional District,GA,4,MAP
13000663001,IDEAL WPCP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0048011,Individual Permit,"IDEAL, TOWN OF",Macon,Upper Flint,03130005,2nd Congressional District,GA,4,MAP
13000667001,JACKSON SOUTHSIDE WPCP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0023931,Individual Permit,"JACKSON, CITY OF",Butts,Upper Ocmulgee,03070103,10th Congressional District,GA,4,MAP
13000667003,JACKSON NORTHEAST WPCP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0032719,Individual Permit,"JACKSON, CITY OF",Butts,Upper Ocmulgee,03070103,10th Congressional District,GA,4,MAP
13000670001,JASPER WPCP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Advanced Treatment,N,Y,,,,GA0032204,Individual Permit,"JASPER, CITY OF",Pickens,Etowah,03150104,9th Congressional District,GA,4,MAP
13000671001,JEFFERSON WPCP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Advanced Treatment,N,Y,,,Y,GA0023132,Individual Permit,"JEFFERSON, CITY OF",Jackson,Upper Oconee,03070101,9th Congressional District,GA,4,MAP
13000672001,JEFFERSONVILLE WPCP,Spray Irrigation,Y,,,,Advanced Treatment,N,Y,,Y,Y,Y,,,,Advanced Treatment,N,Y,,Y,Y,,,"JEFFERSONVILLE, CITY OF",Twiggs,Lower Oconee,03070102,8th Congressional District,GA,4,MAP
13000675001,KINGSLAND WPCP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0037800,Individual Permit,Kingsland,Camden,St. Marys,03070204,1st Congressional District,GA,4,MAP
13000677001,LEESBURG LAGOON,Outfall To Surface Waters,Y,100,,,Secondary,N,,,,,Y,100,,,Secondary,N,,,,,GA0026638,Individual Permit,"LEESBURG, CITY OF",Lee,Kinchafoonee-Muckalee,03130007,2nd Congressional District,GA,4,MAP
13000678001,LENOX WTF,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0031950,Individual Permit,"LENOX, CITY OF",Cook,Withlacoochee,03110203,8th Congressional District,GA,4,MAP
13000683001,LINCOLNTON WPCP,Outfall To Surface Waters,Y,,,,Advanced Treatment,N,Y,,,,Y,,,,Advanced Treatment,N,Y,,,,GA0049450,Individual Permit,Lincolnton,Lincoln,Upper Savannah,03060103,10th Congressional District,GA,4,MAP
13000687001,LOUISVILLE WPCP #1,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0021580,Individual Permit,Louisville,Jefferson,Upper Ogeechee,03060201,10th Congressional District,GA,4,MAP
13000687002,LOUISVILLE WPCP #2,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0032301,Individual Permit,"LOUISVILLE, CITY OF",Jefferson,Upper Ogeechee,03060201,10th Congressional District,GA,4,MAP
13000689001,LUDOWICI WPCP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0049166,Individual Permit,"LUDOWICI, CITY OF",Long,Altamaha,03070106,1st Congressional District,GA,4,MAP
13000690001,LULA STABILIZATION POND,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0024767,Individual Permit,"LULA, CITY OF",Hall,Upper Chattahoochee,03130001,9th Congressional District,GA,4,MAP
13000691001,LUMBER CITY POND,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0050199,Individual Permit,"LUMBER CITY, CITY OF",Telfair,Lower Ocmulgee,03070104,8th Congressional District,GA,4,MAP
13000692001,LUMPKIN WPCP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0021032,Individual Permit,"LUMPKIN, CITY OF",Stewart,Middle Chattahooche,03130003,2nd Congressional District,GA,4,MAP
13000694001,LYONS (WPCP 2 NORTH),Outfall To Surface Waters,Y,,,,Advanced Treatment,N,,,Y,Y,Y,,,,Advanced Treatment,N,,,Y,Y,GA0033391,Individual Permit,"LYONS, CITY OF",Toombs,Ohoopee,03070107,12th Congressional District,GA,4,MAP
13000694002,LYONS (WPCP #1 EAST),Outfall To Surface Waters,Y,,,,Advanced Treatment,N,,,Y,Y,Y,,,,Advanced Treatment,N,,,Y,Y,GA0033405,Individual Permit,"LYONS, CITY OF",Toombs,Ohoopee,03070107,12th Congressional District,GA,4,MAP
13000696002,MC RAE GUM SWAMP CREEK,Spray Irrigation,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,,,"MCRAE, CITY OF",Telfair,Little,03060105,12th Congressional District,GA,4,MAP
13000697001,MADISON NORTH,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0023159,Individual Permit,"MADISON, CITY OF",Morgan,Upper Oconee,03070101,10th Congressional District,GA,4,MAP
13000697002,MADISON SOUTH,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0023141,Individual Permit,"MADISON, CITY OF",Morgan,Upper Oconee,03070101,10th Congressional District,GA,4,MAP
13000698001,MANCHESTER LAS,Spray Irrigation,Y,,,,Advanced Primary,N,,,,,Y,,,,Advanced Primary,N,,,,,,,"MANCHESTER, CITY OF",Meriwether,Upper Flint,03130005,3rd Congressional District,GA,4,MAP
13000699001,MANSFIELD WPCP,Outfall To Surface Waters,Y,,,,Advanced Treatment,N,Y,,,,Y,,,,Advanced Treatment,N,Y,,,,GA0047759,Individual Permit,"MANSFIELD, TOWN OF",Newton,Upper Oconee,03070101,10th Congressional District,GA,4,MAP
13000702001,MAYSVILLE WPCP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0032905,Individual Permit,"MAYSVILLE, TOWN OF",Jackson,Upper Oconee,03070101,9th Congressional District,GA,4,MAP
13000704001,MEIGS POND,Outfall To Surface Waters,Y,,,,Advanced Treatment,N,,,,Y,Y,,,,Advanced Treatment,N,,,,Y,GA0048178,Individual Permit,"MEIGS, TOWN OF",Thomas,Upper Ochlockonee,03120002,8th Congressional District,GA,4,MAP
13000710001,MILLEN (WPCP),Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0038750,Individual Permit,"MILLEN, CITY OF",Jenkins,Upper Ogeechee,03060201,12th Congressional District,GA,4,MAP
13000715003,MONROE JACK'S CREEK WPCP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0047171,Individual Permit,"MONROE, CITY OF",Walton,Upper Oconee,03070101,10th Congressional District,GA,4,MAP
13000716002,MONTEZUMA WPCP #2,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0020486,Individual Permit,"MONTEZUMA, CITY OF",Macon,Middle Flint,03130006,2nd Congressional District,GA,4,MAP
13000717001,MONTICELLO Pearson Cr WPCP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0020141,Individual Permit,"MONTICELLO, CITY OF",Jasper,Upper Oconee,03070101,10th Congressional District,GA,4,MAP
13000717002,MONTICELLO White Oak Cr Pond,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0020150,Individual Permit,"MONTICELLO, CITY OF",Jasper,Upper Oconee,03070101,10th Congressional District,GA,4,MAP
13000720001,MORGAN LAS,Spray Irrigation,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,,,"MORGAN, CITY OF",Calhoun,Ichawaynochaway,03130009,2nd Congressional District,GA,4,MAP
13000725001,MOUNT VERNON WPCP,Outfall To Surface Waters,Y,,,,Advanced Treatment,N,Y,,,,Y,,,,Advanced Treatment,N,Y,,,,GA0033758,Individual Permit,Mount Vernon,Montgomery,Lower Oconee,03070102,12th Congressional District,GA,4,MAP
13000728001,NAHUNTA LAS,Spray Irrigation,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,,,"NAHUNTA, CITY OF",Brantley,Satilla,03070201,1st Congressional District,GA,4,MAP
13000729001,"NNASHVILLE, CITY OF",Spray Irrigation,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,,,"NASHVILLE, CITY OF",Berrien,Withlacoochee,03110203,8th Congressional District,GA,4,MAP
13000732001,NEWINGTON WPCP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0050202,Individual Permit,"NEWINGTON, TOWN OF",Screven,Lower Ogeechee,03060202,12th Congressional District,GA,4,MAP
13000733001,NICHOLLS LAS,Spray Irrigation,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,,,"NICHOLLS, CITY OF",Coffee,Satilla,03070201,12th Congressional District,GA,4,MAP
13000735001,NORMAN PARK WPCP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Advanced Treatment,N,Y,,,Y,GA0033600,Individual Permit,"NORMAN PARK, TOWN OF",Colquitt,Little,03110204,8th Congressional District,GA,4,MAP
13000742001,OCHLOCKNEE WPCP,Outfall To Surface Waters,Y,,,,Advanced Treatment,N,Y,,,,Y,,,,Advanced Treatment,N,Y,,,,GA0046370,Individual Permit,"OCHLOCKNEE, TOWN OF",Thomas,Upper Ochlockonee,03120002,8th Congressional District,GA,4,MAP
13000745001,OGLETHORPE WPCP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0036919,Individual Permit,Oglethorpe,Macon,Middle Flint,03130006,2nd Congressional District,GA,4,MAP
13000748001,OMEGA LAS,Spray Irrigation,Y,,,,Advanced Primary,N,,,,,Y,,,,Advanced Primary,N,,,,,,,"OMEGA, CITY OF",Tift,Little,03110204,8th Congressional District,GA,4,MAP
13000753002,Peachtree City Rockaway WPCP,Outfall To Surface Waters,Y,,,,Advanced Treatment,N,Y,,,,Y,,,,Advanced Treatment,N,Y,,,,GA0046655,Individual Permit,PEACHTREE CITY WATER AND SEWERAGE AUTHORITY,Fayette,Upper Flint,03130005,3rd Congressional District,GA,4,MAP
13000753003,Peachtree City Line Creek WPCP,Outfall To Surface Waters,Y,,,,Advanced Treatment,N,Y,,,,Y,,,,Advanced Treatment,N,Y,,,,GA0035777,Individual Permit,PEACHTREE CITY WATER AND SEWERAGE AUTHORITY,Fayette,Upper Flint,03130005,3rd Congressional District,GA,4,MAP
13000754001,PEARSON WPCP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0038334,Individual Permit,"PEARSON, CITY OF",Atkinson,Satilla,03070201,8th Congressional District,GA,4,MAP
13000755001,PELHAM WPCP,Spray Irrigation,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,,,"PELHAM, CITY OF",Mitchell,Upper Ochlockonee,03120002,2nd Congressional District,GA,4,MAP
13000758001,PINE MOUNTAIN WPCP,Outfall To Surface Waters,Y,,,,Advanced Treatment,N,Y,,,,Y,,,,Advanced Treatment,N,Y,,,,GA0025691,Individual Permit,"PINE MOUNTAIN, TOWN OF",Harris,Middle Chattahoochee-Lake Harding,03130002,3rd Congressional District,GA,4,MAP
13000763001,PLAINS WPCP,Outfall To Surface Waters,Y,,,,Secondary,N,,,,,Y,,,,Secondary,N,,,,,GA0020931,Individual Permit,"PLAINS, TOWN OF",Sumter,Kinchafoonee-Muckalee,03130007,2nd Congressional District,GA,4,MAP
