PARAMETER_CODE,PARAMETER_DESC,POLLUTANT_CODE,STATUS_FLAG,UNIT_GROUP_CODE,PERCENT_REMOVAL_FLAG,PERCENT_EXCEEDENCE_FLAG,SNC_FLAG,CATEGORY
TSN6L,Static Renewal 96Hr Acute Atherinops Affinis,4677,A,49,,Y,,Total Toxics
TSX6K,Flth 96Hr Acute Gasterost Aculeatus,4677,A,49,,Y,2,Total Toxics
TT000,"Toxicity, Chronic",4677,A,49,,Y,,Total Toxics
TTA1D,Static 48Hr Chronic Macrocystis Pyrifera,4677,A,49,,Y,,Total Toxics
TTC1A,Static 4Day Chronic Selen. Capricornutum,4677,A,49,,Y,,Total Toxics
TTC1E,Static 4 Day Chronic Raphidocelis subcapitata,4677,A,49,,Y,,Total Toxics
TTD3B,Static 7Day Chronic Ceriodaphnia Dubia,4677,A,49,,Y,,Total Toxics
TTD6C,Static 7Day Chronic Pimephales Promelas,4677,A,49,,Y,,Total Toxics
TTD6J,Static 7Day Chronic Menidia beryllina,4677,A,49,,Y,,Total Toxics
TTE3L,Static 1Hr Chronic Strongyl. Purpuratus,4677,A,49,,Y,,Total Toxics
TAB3C,LC50 Static 96Hr Acute D. Magna,4677,A,16,,Y,,Total Toxics
TAB3D,LC50 Static 96Hr Acute D. Pulex,4677,A,16,,Y,,Total Toxics
TAB3E,LC50 Static 96Hr Acute Mysid. Bahia,4677,A,16,,Y,,Total Toxics
TAB6A,LC50 Static 96Hr Acute Cyprinodon,4677,A,16,,Y,,Total Toxics
TAB6B,LC50 Static 96Hr Acute Menidia,4677,A,16,,Y,,Total Toxics
TAB6C,LC50 Static 96Hr Acute Pimephales,4677,A,16,,Y,,Total Toxics
TAB6D,LC50 Static 96Hr Acute Salmo Gair.,4677,A,16,,Y,,Total Toxics
TAB6E,LC50 Static 96Hr Acute Lepomis Macrochirus,4677,A,16,,Y,,Total Toxics
TAB6H,LC50 Static 96Hr Acute Cyprinella Leedsi,4677,A,16,,Y,,Total Toxics
TAC6E,LC50 Static 4Day Chronic Lepomis Macrochirus,4677,A,16,,Y,,Total Toxics
TAD6E,LC50 Static 7Day Chronic Lepomis Macrochirus,4677,A,16,,Y,,Total Toxics
TAE3B,LC50 Static 1Hr Chronic Ceriodaphnia Dubia,4677,A,16,,Y,,Total Toxics
TAE3E,LC50 Static 1Hr Chronic Ceriodaphnia,4677,A,16,,Y,,Total Toxics
TAE6B,LC50 Static 1Hr Chronic Menidia Menidia,4677,A,16,,Y,,Total Toxics
TAE6C,LC50 Static 1Hr Chronic Pimephales,4677,A,16,,Y,,Total Toxics
TAE6E,LC50 Static 1Hr Chronic Lepomis Macrochiru,4677,A,16,,Y,,Total Toxics
TAE6H,LC50 Static 1Hr Chronic Cyprinella Leedsi,4677,A,16,,Y,,Total Toxics
TAM1A,LC50 Statre 48Hr Acute Selen. Capr.,4677,A,16,,Y,,Total Toxics
TAM1B,LC50 Static Renewal 48Hr Acute Lemna minor,4677,A,16,,Y,,Total Toxics
TAM1C,LC50 Static Renewal 48Hr Acute Champia parvula,4677,A,16,,Y,,Total Toxics
TAM3A,LC50 Static Renewal 48Hr Acute Arbacia punctulata,4677,A,16,,Y,,Total Toxics
TAM3B,LC50 Static Renewal 48Hr Acute Ceriodaphnia dubia,4677,A,16,,Y,,Total Toxics
TAM3C,LC50 Static Renewal 48Hr Acute Daphnia magna,4677,A,16,,Y,,Total Toxics
TAM3D,LC50 Static Renewal 48Hr Acute Daphnia pulex,4677,A,16,,Y,,Total Toxics
TAM3E,LC50 Statre 48Hr Acute Mysid. Bahia,4677,A,16,,Y,,Total Toxics
TAM3U,LC50 Static Renewal 48Hr Acupenaeus vannamei,4677,A,16,,Y,,Total Toxics
TAM6A,LC50 Static Renewal 48Hr Acute Cyprinodon variegatus,4677,A,16,,Y,,Total Toxics
TAM6B,LC50 Statre 48Hr Acute Menidia,4677,A,16,,Y,,Total Toxics
TAM6C,LC50 Statre 48Hr Acute Pimephales,4677,A,16,,Y,,Total Toxics
TAM6D,LC50 Statre 48Hr Acute Salmo Gair.,4677,A,16,,Y,,Total Toxics
TAM6E,LC50 Static Renewal 48Hr Acute Lepomis macrochirus,4677,A,16,,Y,,Total Toxics
TAN1A,LC50 Statre 96Hr Acute Selen. Capr.,4677,A,16,,Y,,Total Toxics
TAN1B,LC50 Statre 96Hr Acute L. Minor,4677,A,16,,Y,,Total Toxics
TAN1C,LC50 Statre 96Hr Acute Champia,4677,A,16,,Y,,Total Toxics
TAN3A,LC50 Statre 96Hr Acute Arbacia,4677,A,16,,Y,,Total Toxics
TAN3B,LC50 Statre 96Hr Acute Ceriodaphnia,4677,A,16,,Y,,Total Toxics
TAN3C,LC50 Statre 96Hr Acute D. Magna,4677,A,16,,Y,,Total Toxics
TAN3D,LC50 Statre 96Hr Acute D. Pulex,4677,A,16,,Y,,Total Toxics
TAN3E,LC50 Statre 96Hr Acute Mysid. Bahia,4677,A,16,,Y,,Total Toxics
TAN3H,LC50 Statre 96Hr Acute Pandulas Hypsinotus,4677,A,16,,Y,,Total Toxics
TAN3I,LC50 Statre 96Hr Acute Pandulas Borealis,4677,A,16,,Y,,Total Toxics
TAN3J,LC50 Statre 96Hr Acute Cancer Magister,4677,A,16,,Y,,Total Toxics
TAN6A,LC50 Statre 96Hr Acute Cyprinodon,4677,A,16,,Y,,Total Toxics
TAN6B,LC50 Statre 96Hr Acute Menidia,4677,A,16,,Y,,Total Toxics
TAN6C,LC50 Statre 96Hr Acute Pimephales,4677,A,16,,Y,,Total Toxics
TAN6D,LC50 Statre 96Hr Acute Salmo Gair.,4677,A,16,,Y,,Total Toxics
TAN6E,LC50 Statre 96Hr Acute Lepomis Macrochi,4677,A,16,,Y,,Total Toxics
TAN6G,LC50 Statre 96Hr Acute Orcorhynchus Gorbus,4677,A,16,,Y,,Total Toxics
TAN6H,LC50 Statre 96Hr Acucyprinella Leedsi,4677,A,16,,Y,,Total Toxics
TAN6J,LC50 Statre 96Hr Acumenidia beryllina,4677,A,16,,Y,,Total Toxics
TAO6E,LC50 Statre 4Day Chronic Lepomis Macrochi,4677,A,16,,Y,,Total Toxics
TAP3B,LC50 Statre 7Day Chrceriodaphnia,4677,A,16,,Y,,Total Toxics
TAP6E,LC50 Statre 7Day Chronic Lepomis Macrochi,4677,A,16,,Y,,Total Toxics
TAW1A,LC50 Flth 48Hr Acute Selen. Capr.,4677,A,16,,Y,,Total Toxics
TAW1B,LC50 Flth 48Hr Acute L. Minor,4677,A,16,,Y,,Total Toxics
TAW1C,LC50 Flth 48Hr Acute Champia,4677,A,16,,Y,,Total Toxics
TAW3A,LC50 Flth 48Hr Acute Arbacia,4677,A,16,,Y,,Total Toxics
TAW3B,LC50 Flth 48Hr Acute Ceriodaphnia,4677,A,16,,Y,,Total Toxics
TAW3C,LC50 Flth 48Hr Acute D. Magna,4677,A,16,,Y,,Total Toxics
TAW3D,LC50 Flth 48Hr Acute D. Pulex,4677,A,16,,Y,,Total Toxics
TAW3E,LC50 Flth 48Hr Acute Mysid. Bahia,4677,A,16,,Y,,Total Toxics
TAW6A,LC50 Flth 48Hr Acute Cyprinodon,4677,A,16,,Y,,Total Toxics
TAW6B,LC50 Flth 48Hr Acute Menidia,4677,A,16,,Y,,Total Toxics
TAW6C,LC50 Flth 48Hr Acute Pimephales,4677,A,16,,Y,,Total Toxics
TAW6D,LC50 Flth 48Hr Acute Salmo Gair.,4677,A,16,,Y,,Total Toxics
TAW6E,LC50 Flth 48Hr Acute Lepomis Macrochi,4677,A,16,,Y,,Total Toxics
TAX1A,LC50 Flth 96Hr Acute Selen. Capr.,4677,A,16,,Y,,Total Toxics
TAX1B,LC50 Flth 96Hracu L. Minor,4677,A,16,,Y,,Total Toxics
TAX1C,LC50 Flth 96Hr Acute Champia,4677,A,16,,Y,,Total Toxics
TAX3A,LC50 Flth 96Hr Acute Arbacia,4677,A,16,,Y,,Total Toxics
TBD3A,Noel Static 7Day Chronic Arbacia,4677,A,16,,Y,,Total Toxics
TBD3B,Noel Static 7Day Chronic Ceriodaphnia,4677,A,16,,Y,,Total Toxics
TBD3C,Noel Static 7Day Chronic D. Magna,4677,A,16,,Y,,Total Toxics
TBD3D,Noel Static 7Day Chronic D. Pulex,4677,A,16,,Y,,Total Toxics
TBD3E,Noel Static 7Day Chronic Mysid. Bahia,4677,A,16,,Y,,Total Toxics
TBD6A,Noel Static 7Day Chronic Cyprinodon,4677,A,16,,Y,,Total Toxics
TBD6B,Noel Static 7Day Chronic Menidia,4677,A,16,,Y,,Total Toxics
TBD6C,Noel Static 7Day Chronic Pimephales,4677,A,16,,Y,,Total Toxics
TBD6D,Noel Static 7Day Chronic Salmo Gair.,4677,A,16,,Y,,Total Toxics
TBD6E,Noel Static 7Day Chronic Lepomis Macrochirus,4677,A,16,,Y,,Total Toxics
TBE6E,NOEL Static 1Hr Chronic Lepomis macrochirus,4677,A,16,,Y,,Total Toxics
TBF3K,Noel Static 1Hr Chronic Red Sea Urchin,4677,A,16,,Y,,Total Toxics
TBF3L,Noel Static 1Hr Chronic Purple Sea Urchin,4677,A,16,,Y,,Total Toxics
TBF3M,Noel Static 1Hr Chronic Green Sea Urchin,4677,A,16,,Y,,Total Toxics
TBF3N,Noel Static 1Hr Chronic Dendraster Excent,4677,A,16,,Y,,Total Toxics
TBG1C,Noel Static 48Hr Chronic Champia,4677,A,16,,Y,,Total Toxics
TBG3O,Noel Static 48Hr Chronic Crassostrea Gigas,4677,A,16,,Y,,Total Toxics
TBG3P,Noel Static 48Hr Chronic Mytilus Edulis,4677,A,16,,Y,,Total Toxics
TBH3A,Noel Static 1Hr Fert. Chronic Arbacia,4677,A,16,,Y,,Total Toxics
TBM6E,NOEL Static Renewal 48Hr Acute Lepomis Macrochirus,4677,A,16,,Y,,Total Toxics
TBN6E,Noel Statre 96Hr Acute Lepomis Macrochi,4677,A,16,,Y,,Total Toxics
TBO1A,Noel Statre 4Day Chronic Selen. Capr.,4677,A,16,,Y,,Total Toxics
TBO1B,Noel Statre 4Day Chronic L. Minor,4677,A,16,,Y,,Total Toxics
TBO1C,Noel Statre 4Day Chronic Champia,4677,A,16,,Y,,Total Toxics
TBO3A,Noel Statre 4Day Chronic Arbacia,4677,A,16,,Y,,Total Toxics
TBO3B,Noel Statre 4Day Chronic Ceriodaphnia,4677,A,16,,Y,,Total Toxics
TBO3C,Noel Statre 4Day Chronic D. Magna,4677,A,16,,Y,,Total Toxics
TBO3D,Noel Statre 4Day Chronic D. Pulex,4677,A,16,,Y,,Total Toxics
TBO3E,Noel Statre 4Day Chronic Mysid. Bahia,4677,A,16,,Y,,Total Toxics
TBO6A,Noel Statre 4Day Chronic Cyprinodon,4677,A,16,,Y,,Total Toxics
TBO6B,Noel Statre 4Day Chronic Menidia,4677,A,16,,Y,,Total Toxics
TBO6C,Noel Statre 4Day Chronic Pimephales,4677,A,16,,Y,,Total Toxics
TBO6D,Noel Statre 4Day Chronic Salmo Gair.,4677,A,16,,Y,,Total Toxics
TBO6E,Noel Statre 4Day Chronic Lepomis Macrochi,4677,A,16,,Y,,Total Toxics
TBP1A,Noel Statre 7Day Chronic Selen. Capr.,4677,A,16,,Y,,Total Toxics
TBP1B,Noel Statre 7Day Chronic L. Minor,4677,A,16,,Y,,Total Toxics
TBP1C,Noel Statre 7Day Chronic Champia,4677,A,16,,Y,,Total Toxics
TBP3A,Noel Statre 7Day Chronic Arbacia,4677,A,16,,Y,,Total Toxics
TBP3B,Noel Statre 7Day Chronic Ceriodaphnia,4677,A,16,,Y,,Total Toxics
TBP3C,Noel Statre 7Day Chronic D. Magna,4677,A,16,,Y,,Total Toxics
TA1AA,LC50 Mycd Shrimp Static Defn,4677,A,16,,Y,,Total Toxics
TA1BA,LC50 Shee Minnow Static Defn,4677,A,16,,Y,,Total Toxics
TA1CA,LC50 Fthd Minnow Static Defn,4677,A,16,,Y,,Total Toxics
TAA1A,LC50 Static 48Hr Acute Selen. Capr.,4677,A,16,,Y,,Total Toxics
TAA1B,LC50 Static 48Hr Acute L. Minor,4677,A,16,,Y,,Total Toxics
TAA1C,LC50 Static 48Hr Acute Champia,4677,A,16,,Y,,Total Toxics
TAA3A,LC50 Static 48Hr Acute Arbacia,4677,A,16,,Y,,Total Toxics
TAA3B,LC50 Static 48Hr Acute Ceriodaphnia,4677,A,16,,Y,,Total Toxics
TAA3C,LC50 Static 48Hr Acute D. Magna,4677,A,16,,Y,,Total Toxics
TAA3D,LC50 Static 48Hr Acute D. Pulex,4677,A,16,,Y,,Total Toxics
TAA3E,LC50 Static 48Hr Acute Mysid. Bahia,4677,A,16,,Y,,Total Toxics
TAA6A,LC50 Static 48Hr Acute Cyprinodon,4677,A,16,,Y,,Total Toxics
TAA6B,LC50 Static 48Hr Acute Menidia,4677,A,16,,Y,,Total Toxics
TAA6C,LC50 Static 48Hr Acute Pimephales,4677,A,16,,Y,,Total Toxics
TAA6D,LC50 Static 48Hr Acute Salmo Gair.,4677,A,16,,Y,,Total Toxics
TAA6E,LC50 Static 48Hr Acute Lepomis Macrochirus,4677,A,16,,Y,,Total Toxics
TAA6F,LC50 Static 48Hr Acute Salvel. Salmonid,4677,A,16,,Y,,Total Toxics
TAA6H,LC50 Static 48Hr Acute Cyprinella Leedsi,4677,A,16,,Y,,Total Toxics
TBP3D,Noel Statre 7Day Chronic D. Pulex,4677,A,16,,Y,,Total Toxics
TBP3E,Noel Statre 7Day Chronic Mysid. Bahia,4677,A,16,,Y,,Total Toxics
TBP6A,Noel Statre 7Day Chronic Cyprinodon,4677,A,16,,Y,,Total Toxics
TBP6B,Noel Statre 7Day Chronic Menidia,4677,A,16,,Y,,Total Toxics
TBP6C,Noel Statre 7Day Chronic Pimephales,4677,A,16,,Y,,Total Toxics
TBP6D,Noel Statre 7Day Chronic Salmo Gair.,4677,A,16,,Y,,Total Toxics
TBP6E,Noel Statre 7Day Chronic Lepomis Macrochi,4677,A,16,,Y,,Total Toxics
TBP6H,Noel Statre 7 Day Chronic Cyprinella Leedsi,4677,A,16,,Y,,Total Toxics
TBQ6F,Noel Statre 10Day Chronic Salvel. Salmonid,4677,A,16,,Y,,Total Toxics
TBW6E,Noel Flth 48Hr Acute Lepomis Macrochi,4677,A,16,,Y,,Total Toxics
TBX6E,Noel Flth 96Hr Acute Lepomis Macrochi,4677,A,16,,Y,,Total Toxics
TBY1A,Noel Flth 4Day Chronic Selen. Capr.,4677,A,16,,Y,,Total Toxics
TBY1B,Noel Flth 4Day Chronic L. Minor,4677,A,16,,Y,,Total Toxics
TBY1C,Noel Flth 4Day Chronic Champia,4677,A,16,,Y,,Total Toxics
TBY3A,Noel Flth 4Day Chronic Arbacia,4677,A,16,,Y,,Total Toxics
TBY3B,Noel Flth 4Day Chronic Ceriodaphnia,4677,A,16,,Y,,Total Toxics
TBY3C,Noel Flth 4Day Chronic D. Magna,4677,A,16,,Y,,Total Toxics
TBY3D,Noel Flth 4Day Chronic D. Pulex,4677,A,16,,Y,,Total Toxics
TBY3E,Noel Flth 4Day Chronic Mysid. Bahia,4677,A,16,,Y,,Total Toxics
TBY6A,Noel Flth 4Day Chronic Cyprinodon,4677,A,16,,Y,,Total Toxics
TBY6B,Noel Flth 4Day Chronic Menidia,4677,A,16,,Y,,Total Toxics
TBY6C,Noel Flth 4Day Chronic Pimephales,4677,A,16,,Y,,Total Toxics
TBY6D,Noel Flth 4Day Chronic Salmo Gair.,4677,A,16,,Y,,Total Toxics
TBY6E,Noel Flth 4Day Chronic Lepomis Macrochi,4677,A,16,,Y,,Total Toxics
TBZ1A,Noel Flth 7Day Chronic Selen. Capr.,4677,A,16,,Y,,Total Toxics
TBZ1B,Noel Flth 7Day Chronic L. Minor,4677,A,16,,Y,,Total Toxics
TBZ1C,Noel Flth 7Day Chronic Champia,4677,A,16,,Y,,Total Toxics
TBZ3A,Noel Flth 7Day Chronic Arbacia,4677,A,16,,Y,,Total Toxics
TBZ3B,Noel Flth 7Day Chronic Ceriodaphnia,4677,A,16,,Y,,Total Toxics
TBZ3C,Noel Flth 7Day Chronic D. Magna,4677,A,16,,Y,,Total Toxics
TBZ3D,Noel Flth 7Day Chronic D. Pulex,4677,A,16,,Y,,Total Toxics
TBZ3E,Noel Flth 7Day Chronic Mysid. Bahia,4677,A,16,,Y,,Total Toxics
TBZ6A,Noel Flth 7Day Chronic Cyprinodon,4677,A,16,,Y,,Total Toxics
TBZ6B,Noel Flth 7Day Chronic Menidia,4677,A,16,,Y,,Total Toxics
TBZ6C,Noel Flth 7Day Chronic Pimephales,4677,A,16,,Y,,Total Toxics
TBZ6D,Noel Flth 7Day Chronic Salmo Gair.,4677,A,16,,Y,,Total Toxics
TBZ6E,Noel Flth 7Day Chronic Lepomis Macrochi,4677,A,16,,Y,,Total Toxics
TCA3B,%Effect Static 48Hr Acute Ceriodaphnia,4677,A,16,,Y,,Total Toxics
TCA6E,%Effect Static 48Hr Acute Lepomis Macrochirus,4677,A,16,,Y,,Total Toxics
TCC6E,%Effect Static 4 Day Chronic Lepomis Macrochi,4677,A,16,,Y,,Total Toxics
TCD6E,%Effect Static 7Day Chronic Lepomis Macrochi,4677,A,16,,Y,,Total Toxics
TCE3B,%Effect Static 24Hr Acute Ceriodaphnia,4677,A,16,,Y,,Total Toxics
TCE6C,%Effect Static 24Hr Acute Pimephales,4677,A,16,,Y,,Total Toxics
TCM1A,%Effect Statre 48Hr Acute Selen. Capr.,4677,A,16,,Y,,Total Toxics
TCM1B,%Effect Statre 48Hr Acute L. Minor,4677,A,16,,Y,,Total Toxics
TCM1C,%Effect Statre 48Hr Acu. Champia,4677,A,16,,Y,,Total Toxics
TCM3A,%Effect Statre 48Hr Acute Arbacia,4677,A,16,,Y,,Total Toxics
TCM3B,%Effect Statre 48Hr Acute Ceriodaphnia,4677,A,16,,Y,,Total Toxics
TCM3C,%Effect Statre 48Hr Acute D. Magna,4677,A,16,,Y,,Total Toxics
TCM3D,%Effect Statre 48Hr Acute D. Pulex,4677,A,16,,Y,,Total Toxics
TCM3E,% Effect Statre 48Hr Acute Mysid. Bahia,4677,A,16,,Y,,Total Toxics
TCM6A,%Effect Statre 48Hr Acute Cyprinodon,4677,A,16,,Y,,Total Toxics
TCM6B,%Effect Statre 48Hr Acute Menidia,4677,A,16,,Y,,Total Toxics
TCM6C,%Effect Statre 48Hr Acute Pimephales,4677,A,16,,Y,,Total Toxics
TCM6E,%Effect Static Renewal 48Hr Acute Lepomis Macrochirus,4677,A,16,,Y,,Total Toxics
TCN1A,%Effect Static Renewal 96Hr Acute Selenastrum capricoruntum,4677,I,16,,Y,,Total Toxics
TCN1B,%Effect Static Renewal 96Hr Acute L. Minor,4677,I,16,,Y,,Total Toxics
TCN1C,%Effect Static Renewal 96Hr Acute Champia parvula,4677,A,16,,Y,,Total Toxics
TCN3A,%Effect Static Renewal 96Hr Acute Arbacia punctulata,4677,A,16,,Y,,Total Toxics
TCN3B,%Effect Static Renewal 96Hr Acute Ceriodaphnia dubia,4677,A,16,,Y,,Total Toxics
TCN3C,%Effect Static Renewal 96Hr Acute Daphnia magna,4677,A,16,,Y,,Total Toxics
TCN3D,%Effect Static Renewal 96Hr Acute Daphnia pulex,4677,A,16,,Y,,Total Toxics
TCN3E,% Effect Static Renewal 96Hr Acute Mysidopsis bahia,4677,I,16,,Y,,Total Toxics
TCN6A,%Effect Static Renewal 96Hr Acute Cyprinodon variegatus,4677,A,16,,Y,,Total Toxics
TCN6B,%Effect Static Renewal 96Hr Acute Menidia menidia,4677,A,16,,Y,,Total Toxics
TCN6C,%Effect Static Renewal 96Hr Acute Pimephales promelas,4677,A,16,,Y,,Total Toxics
TCN6E,%Effect Static Renewal 96Hr Acute Lepomis macrochirus,4677,A,16,,Y,,Total Toxics
TCO1A,%Effect Statre 4Day Chronic Selen. Capr.,4677,A,16,,Y,,Total Toxics
TCO1B,%Effect Statre 4Day Chronic L. Minor,4677,A,16,,Y,,Total Toxics
TCO1C,%Effect Statre 4Day Chronic Champia,4677,A,16,,Y,,Total Toxics
TCO3A,%Effect Statre 4Day Chronic Arbacia,4677,A,16,,Y,,Total Toxics
TAB1A,LC50 Static 96Hr Acute Selen. Capr.,4677,A,16,,Y,,Total Toxics
TAB1B,LC50 Static 96Hr Acute L. Minor,4677,A,16,,Y,,Total Toxics
TAB1C,LC50 Static 96Hr Acute Champia,4677,A,16,,Y,,Total Toxics
TAB3A,LC50 Static 96Hr Acute Arbacia,4677,A,16,,Y,,Total Toxics
TAB3B,LC50 Static 96Hr Acute Ceriodaphnia,4677,A,16,,Y,,Total Toxics
TGE3B,Pass/Fail Static 24Hr Acute Ceriodaphnia Dubia,4677,A,55,,N,,Total Toxics
TJA6C,% Mortality Static 48Hr Acute Pimephales promelas,4677,A,90,N,Y,,Total Toxics
TTF6A,"Static 48Hr Chronic, 5-7 Day Rec. Cyprinodeon variegas",4677,A,49,,Y,,Total Toxics
TTK3S,Static 48Hr Chronic Mytilis Species,4677,A,49,,Y,,Total Toxics
TTO3C,Static Renewal 4Day Chronic Daphnia Magna,4677,A,49,,Y,,Total Toxics
TZP3E,% Growth Reduction Static Renewal 7 Day Chronic Mysidopsis bahia,4677,A,16,,Y,,Total Toxics
TJM3C,Daphnia Magna % Mortality 48 Hr Acute,4677,A,16,,Y,,Total Toxics
TBA3B,Noel Static 48Hr Acute Ceriodaphnia,4677,A,16,,Y,,Total Toxics
TBN3E,Noel Statre 96Hr Acute Mysidopsis Bahia,4677,A,16,,Y,,Total Toxics
TDN6I,96Hr Acute Noael Statroncorhynchus Mysiss,4677,A,16,,Y,,Total Toxics
TDA6A,NOAEL Static 48Hr Acute Cyprinodon variegatus,4677,A,16,,Y,,Total Toxics
TKI1A,Static 24HR Acute Selenastrum capricoruntum,4677,A,49,N,Y,,Total Toxics
TJM3B,%Mortality Static Renewal 48Hr Acute Ceriodaphnia dubia,4677,A,16,N,Y,,Total Toxics
TKA3B,Static 48Hr Acute Ceriodaphnia dubia,4677,A,49,N,Y,,Total Toxics
TKN6C,Static Renewal 96Hr Acute Pimephales promelas,4677,A,49,N,Y,,Total Toxics
TKP3B,Static Renewal 7 Day Chronic Ceriodaphnia dubia,4677,A,49,N,Y,,Total Toxics
TKP6C,Static Renewal 7 Day Chronic Pimephales promelas,4677,A,49,N,Y,,Total Toxics
TDA6I,48Hr Acute Oncorhyncus Myriss,4677,A,16,,Y,,Total Toxics
TGA3C,Pass/Fail Static 48Hr Acute Daphnia Magna,4677,A,55,,N,,Total Toxics
TGN3C,Pass/Fail Static Renewal 96Hr Acute Daphnia Magma,4677,A,55,,N,,Total Toxics
TJM6J,%Mort 48 Hr Acute Statre M. Beryllina',4677,A,16,,Y,,Total Toxics
TRB3E,%Surv Static 96Hr Acute Mysidopsis Bahia,4677,A,16,,Y,,Total Toxics
TRB6L,%Surv Static 96Hr Acute Atherinops Affinis,4677,A,16,,Y,,Total Toxics
TRN3E,%Surv Statre 96Hr Acute Mysidopsis Bahia,4677,A,16,,Y,,Total Toxics
TRN6J,%Surv Statre 96Hr Acute Menid Beryllina,4677,A,16,,Y,,Total Toxics
TSA3E,48Hr Acute Mysidopsis Bahia,4677,A,49,,Y,,Total Toxics
TSA6A,48Hr Acute Cyprinodon Variegatu,4677,A,49,,Y,,Total Toxics
TSA6B,Static 48Hr Acute Menidia beryllina,4677,A,49,,Y,,Total Toxics
TSA6I,48Hr Acute Oncorhynchus,4677,A,49,,Y,,Total Toxics
TSA6L,Static 48Hr Acute Atherinops Affinis,4677,A,49,,Y,,Total Toxics
TSB3E,Static 96Hr Acute Mysidopsis bahia,4677,A,49,,Y,,Total Toxics
TSB6I,Static 96Hr Acute Oncorhynchus mykiss,4677,A,49,,Y,,Total Toxics
TSB6L,Static 96Hr Acute Atherinops affinis,4677,A,49,,Y,,Total Toxics
TSF3B,Static Acute Ceriodaphnia Dubia,4677,A,49,,Y,,Total Toxics
TSF3E,Static Acute Mysidopsis Bahia,4677,A,49,,Y,,Total Toxics
TSM3E,Static Renewal Acute Mysidopsis Bahia,4677,A,49,,Y,,Total Toxics
TSN3E,Static Renewal 96Hr Acute Mysidopsis Bahia,4677,A,49,,Y,,Total Toxics
TSN6A,96Hr Acute Cyprinodon Variegatu,4677,A,49,,Y,,Total Toxics
TTF6C,Static Chronic Pimephales Promelas,4677,A,49,,Y,,Total Toxics
TTM6A,Static Renewal Chronic Cyprinodeon variegas,4677,A,49,,Y,,Total Toxics
TTM6C,Static Renewal Chronic Pimephales Promelas,4677,A,49,,Y,,Total Toxics
TTP6A,Static Renewal 7-Day Chronic Cyprinodon variegatus ,4677,A,49,N,Y,,Total Toxics
TXM3D,LOEC Lethal Survival Static Renewal 48HR Acute Daphnia pulex,4677,A,90,,Y,,Total Toxics
TXM3E,LOEC Lethal Survival Static Renewal 48HR Acute Americamysis bahia,4677,A,90,N,Y,,Total Toxics
TXM6A,LOEC Lethal Survival Static Renewal 48HR Acute Cyprinodeon variegatus,4677,A,90,,Y,,Total Toxics
TXM6B,LOEC Lethal Survival Static Renewal 48HR Acute Menidia menidia,4677,A,90,,Y,,Total Toxics
TXM6C,LOEC Lethal Survival Static Renewal 48HR Acute Pimephales promelas,4677,A,90,N,Y,,Total Toxics
TXP6A,LOEC Lethal Survival Static Renewal 7 Day Chronic Cyprinodeon variegatus,4677,A,90,,Y,,Total Toxics
TXP6B,LOEC Lethal Survival Static Renewal 7 Day Chronic Menidia menidia,4677,A,90,,Y,,Total Toxics
TXP6C,LOEC Lethal Survival Static Renewal 7 Day Chronic Pimephales promelas,4677,A,90,,Y,,Total Toxics
TYP6A,LOEC Sub-Lethal Reproduction Static Renewal 7 Day Chronic Cyprinodeon variegatus,4677,A,90,,Y,,Total Toxics
TYP6B,LOEC Sub-Lethal Reproduction Static Renewal 7 Day Chronic Menidia menidia,4677,A,90,,Y,,Total Toxics
TYP6C,LOEC Sub-Lethal Reproduction Static Renewal 7 Day Chronic Pimephales promelas,4677,A,90,,Y,,Total Toxics
TXP3B,LOEC Lethal Survival Static Renewal 7 Day Chronic Ceriodaphnia dubia,4677,A,90,,Y,,Total Toxics
TYP3E,LOEC Sub-Lethal Reproduction Static Renewal 7 Day Chronic Americamysis bahia,4677,A,90,,Y,,Total Toxics
TJM3E,% Mort 48 Hr Acute Statre Mysid. Bahia',4677,A,16,,Y,,Total Toxics
TTS3N,Static 20Min Chronic Dendraster Excentri,4677,A,49,,Y,,Total Toxics
TYP3B,LOEC Sub-Lethal Reproduction Static Renewal 7 Day Chronic Ceriodaphnia dubia,4677,A,90,,Y,,Total Toxics
TRB6J,%Surv Static 96Hr Acute Menidia Beryllina',4677,A,16,,Y,,Total Toxics
TXP3E,LOEC Lethal Survival Static Renewal 7 Day Chronic Americamysis bahia,4677,A,90,,Y,,Total Toxics
TSM6C,Static Renewal 48Hr Acute Pimephales Promelas,4677,A,49,,Y,,Total Toxics
TSI3C,Static 24 Hr Acute Daphnia Magna,4677,A,49,,Y,,Total Toxics
TSI6C,Static 24 Hr Acute Pimephales Promelas,4677,A,49,,Y,,Total Toxics
TSX6A,Flow Thru 96 Hr Acute Cyprinodon Variegatus,4677,A,49,,Y,,Total Toxics
TSX6J,Flow Thru 96 Hr Acute Menidia Beryllina,4677,A,49,,Y,,Total Toxics
TTK3C,Static 48 Hr Chronic Daphnia Magna,4677,A,49,,Y,,Total Toxics
TTK6C,Static 48 Hr Chronic Pimphales Promelas,4677,A,49,,Y,,Total Toxics
TXT3C,LOEC Lethal Survival Static Renewal 21 Day Chronic Daphnia magna,4677,A,16,,Y,,Total Toxics
TYT3C,LOEC Sub-Lethal Reproduction Static Renewal 21 Day Chronic Daphnia magna,4677,A,16,,Y,,Total Toxics
